// Format: letter #|letter from passage|predicted letters|scan time
1184|r|RINSC|2
1185|y|YSIEA|2
1186| |TSIBA|3
1187|f|TBOAI|8
1188|a|IOEAR|5
1189|i|CRNLS|11
1190|l|RTLNS|4
1191|u|LIESU|6
1192|r|RATKS|2
1193|e|EIOAG|2
1194|.|SDAMX|4
1195| |SDAMX|3
1196|I|TBOAI|6
1197|n|NSCTL|2
1198| |GETAD|3
1199|a|TBOAI|5
1200| |NRLTS|3
1201|s|TBOAI|6
1202|m|TEISH|12
1203|a|AOIES|2
1204|l|NRLTS|4
1205|l|LETOI|2
1206|e|BEHWT|3
1207|r|RSYXT|2
1208| |SYIGT|3
1209|n|TBOAI|11
1210|u|EGTAD|10
1211|m|MSTCN|2
1212|b|BEAIM|2
1213|e|EAISR|2
1214|r|RDGNL|2
1215| |SEIOP|3
1216|o|TBOAI|4
1217|f|NRLMS|8
1218| |FTIEO|3
1219|c|TBOAI|8
1220|a|OHAEK|4
1221|s|LRTNS|6
1222|e|TESIH|3
1223|s|SMILR|2
1224|,|ETMIC|5
1225| |ETMIC|3
1226|a|TBOAI|5
1227|b|NRLTS|10
1228|o|LIEAO|6
1229|u|RULON|3
1230|t|TRNLD|2
1231| |SBUCM|3
1232|2|TBOAI|8
1233|5|TBOAI|11
1234|%|TBOAI|11
1235|,|TBOAI|5
1236| |TBOAI|3
1237|t|TBOAI|2
1238|h|EIAOR|10
1239|e|EOIAR|2
1240| |RSNOA|3
1241|m|TBOAI|12
1242|u|AEIOP|10
1243|s|LSNRT|3
1244|c|ICETS|3
1245|l|ULHOA|3
1246|e|EIAOU|2
1247|s|MSTDC|3
1248| |IFTAP|3
1249|i|TBOAI|6
1250|n|NSCTL|2
1251|v|GETAD|9
1252|o|EIAOU|5
1253|l|LKICV|2
1254|v|VUEAI|2
1255|e|EIMUO|2
1256|d|MDSRN|3
1257| |EAOGI|3
1258|i|TBOAI|6
1259|n|NSCTL|2
1260| |GETAD|3
1261|s|TBOAI|6
1262|p|TEISH|13
1263|e|EOAIR|2
1264|e|CRELN|4
1265|c|DCLRX|3
1266|h|HEOAR|2
1267| |WELGD|3
1268|a|TBOAI|5
1269|n|NRLTS|2
1270|d|DTSGA|2
1271| |EAISR|3
1272|s|TBOAI|6
1273|w|TEISH|5
1274|a|IAEOR|3
1275|l|NRLTP|4
1276|l|LDEKT|2
1277|o|OAPEI|2
1278|w|WPNOA|2
1279|i|IETSF|2
1280|n|NSCKE|2
1281|g|GTSDI|2
1282| |CSLON|3
1283|g|TBOAI|9
1284|o|EAIRO|6
1285| |OLNRT|3
1286|f|TBOAI|8
1287|i|IOEAR|2
1288|r|NELCR|6
1289|s|ESMID|3
1290|t|TCHIA|2
1291|,|SCUPL|5
1292| |SCUPL|3
1293|a|TBOAI|5
1294|n|NRLTS|2
1295|d|DTSGA|2
1296| |EAISR|3
1297|l|TBOAI|13
1298|i|EIALO|3
1299|m|NSTCA|12
1300|b|EAIBP|5
1301| |EAUIS|3
1302|p|TBOAI|13
1303|a|EAORI|3
1304|r|RNTCL|2
1305|a|ATEKI|2
1306|l|MTLDS|4
1307|y|LYOEI|3
1308|s|SZMTN|2
1309|i|EITSH|3
1310|s|SNAML|2
1311| |CETSK|3
1312|h|TBOAI|10
1313|a|AEOIU|2
1314|p|RNMLT|13
1315|p|PELAT|2
1316|e|EYIAL|2
1317|n|NLDRA|2
1318|s|IDSNE|4
1319| |TEBAI|3
1320|l|TBOAI|13
1321|a|EIALO|4
1322|t|NTSRC|3
1323|e|EIOTA|2
1324|r|DSRNL|4
1325|.|ASRIO|4
1326| |ASRIO|3
1327|T|TBOAI|2
1328|h|EIAOR|10
1329|i|EOIAR|4
1330|s|NECAS|6
1331| |TEICP|3
1332|r|TBOAI|7
1333|a|EAIOS|3
1334|r|NTCMD|7
1335|e|IYDEC|5
1336|r|SFBNL|7
1337| |SORXI|3
1338|o|TBOAI|4
1339|r|NRLMS|3
1340|d|TEIDA|5
1341|e|EISAO|2
1342|r|RNLSD|2
1343| |SLEIC|3
1344|o|TBOAI|4
1345|f|NRLMS|8
1346| |FTIEO|3
1347|p|TBOAI|13
1348|r|EAORI|5
1349|o|OEIAU|2
1350|g|PTCDV|9
1351|r|RENSA|2
1352|e|AEYOI|3
1353|s|SNLFG|2
1354|s|SOAIQ|2
1355|i|IEBOM|2
1356|o|VONFB|3
1357|n|NPTSL|2
1358| |SAIEL|3
1359|i|TBOAI|6
1360|s|NSCTL|3
1361| |TEHSC|3
1362|k|TBOAI|12
1363|n|EIAOS|11
1364|o|OEIAU|2
1365|w|WTCPB|2
1366|n|LNIES|3
1367| |SEFUH|3
1368|a|TBOAI|5
1369|s|NRLTS|6
1370| |TSEHI|3
1371|b|TBOAI|3
1372|u|EAOLI|10
1373|l|RSTLN|5
1374|b|LAIGE|10
1375|a|ASOUE|2
1376|r|RSGCN|2
1377| |GTRDS|3
1378|o|TBOAI|4
1379|n|NRLMS|2
1380|s|SEIAT|2
1381|e|TEIOU|3
1382|t|RNCTQ|5
1383| |STEHR|3
1384|A|TBOAI|5
1385|L|NRLTS|4
1386|S|LIEAT|6
1387|,|TEAIO|5
1388| |TEAIO|3
1389|a|TBOAI|5
1390|n|NRLTS|2
1391|d|DTSGA|2
1392| |EAISR|3
1393|i|TBOAI|6
1394|t|NSCTL|5
1395| |EIAYT|3
1396|i|TBOAI|6
1397|s|NSCTL|3
1398| |TEHSC|3
1399|t|TBOAI|2
1400|h|EIAOR|10
1401|e|EOIAR|2
1402| |RSNOA|3
1403|f|TBOAI|8
1404|o|IOEAR|3
1405|r|RLNOU|2
1406|m|MDETC|2
1407| |AEIUS|3
1408|o|TBOAI|4
1409|f|NRLMS|8
1410| |FTIEO|3
1411|A|TBOAI|5
1412|L|NRLTS|4
1413|S|LIEAT|6
1414| |TEAIO|3
1415|t|TBOAI|2
1416|h|EIAOR|10
1417|a|EOIAR|5
1418|t|NLMRT|6
1419| |CSATL|3
1420|I|TBOAI|6
1421| |NSCTL|3
1422|h|TBOAI|10
1423|a|AEOIU|2
1424|v|RNMLT|9
1425|e|EIAON|2
1426|.|NRLSD|4
1427| |NRLSD|3
1428|A|TBOAI|5
1429|n|NRLTS|2
1430| |DTSGA|3
1431|e|TBOAI|6
1432|v|RNSLD|9
1433|e|EIAOR|2
1434|n|RNLSD|3
1435| |TSIGU|3
1436|s|TBOAI|6
1437|m|TEISH|12
1438|a|AOIES|2
1439|l|NRLTS|4
1440|l|LETOI|2
1441|e|BEHWT|3
1442|r|RSYXT|2
1443| |SYIGT|3
1444|n|TBOAI|11
1445|u|EGTAD|10
1446|m|MSTCN|2
1447|b|BEAIM|2
1448|e|EAISR|2
1449|r|RDGNL|2
1450| |SEIOP|3
1451|o|TBOAI|4
1452|f|NRLMS|8
1453| |FTIEO|3
1454|p|TBOAI|13
1455|e|EAORI|2
1456|o|RNTDC|12
1457|p|PNFTU|2
1458|l|LEIKP|2
1459|e|EIAUO|2
1460| |CFPST|3
1461|w|TBOAI|5
1462|i|AEIWO|4
1463|l|NLTSC|3
1464|l|LDKMI|2
1465| |IEOAM|3
1466|d|TBOAI|7
1467|i|EIAOR|3
1468|e|SNACT|6
1469| |SNRTD|3
1470|o|TBOAI|4
1471|f|NRLMS|8
1472| |FTIEO|3
1473|r|TBOAI|7
1474|e|EAIOS|2
1475|s|SANED|2
1476|p|STEIP|6
1477|i|OEIAU|4
1478|r|RGNTS|2
1479|a|AOEIT|2
1480|t|TBLNC|2
1481|o|OIEAN|2
1482|r|RINSC|2
1483|y|YSIEA|2
1484| |TSIBA|3
1485|f|TBOAI|8
1486|a|IOEAR|5
1487|i|CRNLS|11
1488|l|RTLNS|4
1489|u|LIESU|6
1490|r|RATKS|2
1491|e|EIOAG|2
1492| |SDAMX|3
1493|b|TBOAI|3
1494|e|EAOLI|2
1495|f|RLNAS|8
1496|o|IOARU|3
1497|r|RNLOC|2
1498|e|EMDUC|2
1499| |HSNCG|3
1500|e|TBOAI|6
1501|x|RNSLD|7
1502|t|TPCIA|2
1503|e|REUIO|3
1504|n|NRMDL|2
1505|s|SDTUX|2
1506|i|IOAET|2
1507|v|OVBSF|3
1508|e|EIMAO|2
1509| |LNSRI|3
1510|l|TBOAI|13
1511|i|EIALO|3
1512|m|NSTCA|12
1513|b|EAIBP|5
1514| |EAUIS|3
1515|i|TBOAI|6
1516|n|NSCTL|2
1517|v|GETAD|9
1518|o|EIAOU|5
1519|l|LKICV|2
1520|v|VUEAI|2
1521|e|EIMUO|2
1522|m|MDSRN|2
1523|e|EOABI|2
1524|n|NDPBS|2
1525|t|TSDIC|2
1526| |SIHAE|3
1527|o|TBOAI|4
1528|c|NRLMS|8
1529|c|KHAOE|8
1530|u|UAOIH|2
1531|r|PRSLN|3
1532|s|RESAI|4
1533|.|EAOIU|4
1534| |EAOIU|3
1535|I|TBOAI|6
1536|n|NSCTL|2
1537| |GETAD|3
1538|a|TBOAI|5
1539| |NRLTS|3
1540|s|TBOAI|6
1541|m|TEISH|12
1542|a|AOIES|2
1543|l|NRLTS|4
1544|l|LETOI|2
1545| |BEHWT|3
1546|n|TBOAI|11
1547|u|EGTAD|10
1548|m|MSTCN|2
1549|b|BEAIM|2
1550|e|EAISR|2
1551|r|RDGNL|2
1552| |SEIOP|3
1553|o|TBOAI|4
1554|f|NRLMS|8
1555| |FTIEO|3
1556|c|TBOAI|8
1557|a|OHAEK|4
1558|s|LRTNS|6
1559|e|TESIH|3
1560|s|SMILR|2
1561|,|ETMIC|5
1562| |ETMIC|3
1563|u|TBOAI|10
1564|s|RNSTL|4
1565|u|ETISH|10
1566|a|RAMSF|3
1567|l|LRBDN|2
1568|l|LYIST|2
1569|y|YIESO|2
1570| |SCNMG|3
1571|e|TBOAI|6
1572|l|RNSLD|5
1573|d|LEIAD|6
1574|e|ESOIA|2
1575|r|RNDLS|2
1576|l|SLBFC|3
1577|y|YAEOI|2
1578| |INRSB|3
1579|p|TBOAI|13
1580|a|EAORI|3
1581|t|RNTCL|4
1582|i|HIREC|3
1583|e|OBNAE|6
1584|n|NSRFV|2
1585|t|TCSNZ|2
1586|s|SLEPO|2
1587|,|IEPYC|5
1588| |IEPYC|3
1589|d|TBOAI|7
1590|e|EIAOR|2
1591|m|RNSLC|12
1592|e|OAIEU|5
1593|n|NTARY|2
1594|t|TSDIC|2
1595|i|IOEAS|2
1596|a|AENOT|2
1597| |SLTNR|3
1598|a|TBOAI|5
1599|c|NRLTS|8
1600|c|KHTEC|6
1601|o|EOUIH|3
1602|m|MURNL|2
1603|p|PMOAI|2
1604|a|ALTIU|2
1605|n|NGRTC|2
1606|i|IYHAO|2
1607|e|EMSOA|2
1608|s|DSRNL|3
1609| |TCESZ|3
1610|A|TBOAI|5
1611|L|NRLTS|4
1612|S|LIEAT|6
1613|,|TEAIO|5
1614| |TEAIO|3
1615|b|TBOAI|3
1616|u|EAOLI|10
1617|t|RSTLN|4
1618| |TEIAO|3
1619|m|TBOAI|12
1620|o|AEIOP|5
1621|s|NRDTU|6
1622|t|TEASI|2
1623| |ARELO|3
1624|A|TBOAI|5
1625|L|NRLTS|4
1626|S|LIEAT|6
1627| |TEAIO|3
1628|p|TBOAI|13
1629|a|EAORI|3
1630|t|RNTCL|4
1631|i|HIREC|3
1632|e|OBNAE|6
1633|n|NSRFV|2
1634|t|TCSNZ|2
1635|s|SLEPO|2
1636| |IEPYC|3
1637|d|TBOAI|7
1638|o|EIAOR|5
1639| |NRWMC|3
1640|n|TBOAI|11
1641|o|EGTAD|12
1642|t|RNTSM|4
1643| |EIATH|3
1644|h|TBOAI|10
1645|a|AEOIU|2
1646|v|RNMLT|9
1647|e|EIAON|2
1648| |NRLSD|3
1649|c|TBOAI|8
1650|o|OHAEK|2
1651|g|MNRLU|9
1652|n|NERGI|2
1653|i|IOAEL|2
1654|t|TZSGE|2
1655|i|IOAEY|2
1656|v|OVENA|3
1657|e|EIAOU|2
1658| |LSNIM|3
1659|d|TBOAI|7
1660|e|EIAOR|2
1661|f|RNSLC|8
1662|i|EIAOR|3
1663|c|NCLAB|3
1664|i|IKEAT|2
1665|t|ETAON|3
1666|s|SYIAE|2
1667|.|UCAET|4
1668| |UCAET|3
1669|C|TBOAI|8
1670|o|OHAEK|2
1671|m|MNRLU|2
1672|m|PMBEI|3
1673|u|EUIOA|3
1674|n|NTISL|2
1675|i|IAECT|2
1676|c|CTSQO|2
1677|a|AIHOE|2
1678|t|TBNDS|2
1679|i|IEOUA|2
1680|o|OVNEI|2
1681|n|NUSTR|2
1682| |SACEM|3
1683|w|TBOAI|5
1684|i|AEIWO|4
1685|t|NLTSC|4
1686|h|HCZTN|2
1687|o|EADOI|5
1688|u|ULIGS|2
1689|t|TRSGD|2
1690| |YHESB|3
1691|v|TBOAI|9
1692|o|EIAOS|5
1693|i|LRINC|4
1694|c|CDRSE|2
1695|e|EIUHA|2
1696| |SDMPO|3
1697|i|TBOAI|6
1698|s|NSCTL|3
1699| |TEHSC|3
1700|a|TBOAI|5
1701| |NRLTS|3
1702|d|TBOAI|7
1703|i|EIAOR|3
1704|f|SNACT|8
1705|f|FIYEO|2
1706|i|EUIRM|4
1707|c|CDENT|2
1708|u|UISEA|2
1709|l|LSMRT|2
1710|t|TAOUE|2
1711| |YILUA|3
1712|c|TBOAI|8
1713|h|OHAEK|3
1714|a|EAIOR|3
1715|l|RNTLM|5
1716|l|LKAEO|2
1717|e|EAIPO|2
1718|n|NRTLY|2
1719|g|GBDST|2
1720|e|EITAH|2
1721|.|RDSAE|4
1722| |RDSAE|3
1723|T|TBOAI|2
1724|h|EIAOR|10
1725|e|EOIAR|2
1726|r|RSNOA|2
1727|e|MSAEI|5
1728| |DATSU|3
1729|w|TBOAI|5
1730|a|AEIWO|2
1731|s|RLTYN|6
1732| |HTSAK|3
1733|a|TBOAI|5
1734| |NRLTS|3
1735|p|TBOAI|13
1736|e|EAORI|2
1737|r|RNTDC|2
1738|i|SITAM|3
1739|o|ONMAE|2
1740|d|DRNXU|2
1741| |IOSEA|3
1742|w|TBOAI|5
1743|h|AEIWO|10
1744|e|IEAOU|3
1745|n|ERALN|6
1746| |UTSEC|3
1747|e|TBOAI|6
1748|-|RNSLD|10
1749|m|RNSLD|12
1750|a|EAIOP|3
1751|i|NTRIS|5
1752|l|LNDAO|2
1753| |ESCIL|3
1754|a|TBOAI|5
1755|c|NRLTS|8
1756|t|KHTEC|4
1757|e|IOEUA|4
1758|d|RDULC|3
1759| |LNCIP|3
1760|a|TBOAI|5
1761|s|NRLTS|6
1762| |TSEHI|3
1763|t|TBOAI|2
1764|h|EIAOR|10
1765|e|EOIAR|2
1766| |RSNOA|3
1767|g|TBOAI|9
1768|r|EAIRO|5
1769|e|AEOIU|3
1770|a|ESNAG|5
1771|t|TSLVN|2
1772| |ESFBH|3
1773|l|TBOAI|13
1774|e|EIALO|2
1775|v|SRNTY|9
1776|e|EIAOU|2
1777|l|LRNST|2
1778|e|LESIT|3
1779|r|RDYST|2
1780|.|SMOAI|4
1781| |SMOAI|3
1782|P|TBOAI|13
1783|e|EAORI|2
1784|o|RNTDC|12
1785|p|PNFTU|2
1786|l|LEIKP|2
1787|e|EIAUO|2
1788| |CFPST|3
1789|w|TBOAI|5
1790|h|AEIWO|10
1791|o|IEAOU|5
1792| |LTROM|3
1793|c|TBOAI|8
1794|o|OHAEK|2
1795|u|MNRLU|6
1796|l|NRPST|13
1797|d|TDOEI|3
1798| |NEASV|3
1799|n|TBOAI|11
1800|o|EGTAD|12
1801|t|RNTSM|4
1802| |EIATH|3
1803|s|TBOAI|6
1804|p|TEISH|13
1805|e|EOAIR|2
1806|a|CRELN|5
1807|k|KRCSD|2
1808| |EIOAS|3
1809|c|TBOAI|8
1810|o|OHAEK|2
1811|u|MNRLU|6
1812|l|NRPST|13
1813|d|TDOEI|3
1814| |NEASV|3
1815|c|TBOAI|8
1816|o|OHAEK|2
1817|r|MNRLU|4
1818|r|EDRNP|4
1819|e|EIUOA|2
1820|s|CSLNO|3
1821|p|PTEOI|2
1822|o|OEIAU|2
1823|n|NSRPT|2
1824|d|DSCTJ|2
1825| |EIASR|3
1826|v|TBOAI|9
1827|i|EIAOS|3
1828|a|LSENC|5
1829| |NTLGR|3
1830|e|TBOAI|6
1831|-|RNSLD|10
1832|m|RNSLD|12
1833|a|EAIOP|3
1834|i|NTRIS|5
1835|l|LNDAO|2
1836| |ESCIL|3
1837|a|TBOAI|5
1838|s|NRLTS|6
1839|y|TSEHI|9
1840|n|MSNLC|4
1841|c|CEOTI|2
1842|h|HROSE|2
1843|r|RIEAS|2
1844|o|OPIEU|2
1845|n|NTMOE|2
1846|o|OYIKW|2
1847|u|ULMSG|2
1848|s|SNRGT|2
1849|l|LMETH|2
1850|y|YEIAO|2
1851|.|NTELK|4
1852| |NTELK|3
1853|I|TBOAI|6
1854|t|NSCTL|5
1855| |EIAYT|3
1856|d|TBOAI|7
1857|i|EIAOR|3
1858|d|SNACT|7
1859|n|AOIDE|11
1860|'|TOGAE|10
1861|t|TOGAE|2
1862| |PEAIR|3
1863|m|TBOAI|12
1864|a|AEIOP|2
1865|t|NRTSL|4
1866|t|IEOHT|6
1867|e|EIHAO|2
1868|r|RDOSN|2
1869| |SNIEH|3
1870|h|TBOAI|10
1871|o|AEOIU|4
1872|w|RLTNU|5
1873| |ESAIT|3
1874|m|TBOAI|12
1875|u|AEIOP|10
1876|c|LSNRT|8
1877|h|HKOIC|2
1878| |MAEON|3
1879|o|TBOAI|4
1880|f|NRLMS|8
1881| |FTIEO|3
1882|a|TBOAI|5
1883| |NRLTS|3
1884|s|TBOAI|6
1885|t|TEISH|2
1886|r|EAROI|4
1887|u|AIEOU|6
1888|g|CMTSP|9
1889|g|GARES|2
1890|l|LYEIS|2
1891|e|EIYOA|2
1892| |SDRNT|3
1893|i|TBOAI|6
1894|t|NSCTL|5
1895| |EIAYT|3
1896|w|TBOAI|5
1897|a|AEIWO|2
1898|s|RLTYN|6
1899| |HTSAK|3
1900|t|TBOAI|2
1901|o|EIAOR|5
1902| |RNPMS|3
1903|e|TBOAI|6
1904|n|RNSLD|3
1905|t|TDSEC|2
1906|e|EIASR|2
1907|r|RDNSC|2
1908| |MTOPS|3
1909|t|TBOAI|2
1910|e|EIAOR|2
1911|x|RDNSL|7
1912|t|TACIE|2
1913|,|USEBI|5
1914| |USEBI|3
1915|b|TBOAI|3
1916|e|EAOLI|2
1917|c|RLNAS|8
1918|a|KHOAU|5
1919|u|SUMRN|3
1920|s|SETCX|2
1921|e|EATLI|2
1922| |WDSYR|3
1923|w|TBOAI|5
1924|e|AEIWO|3
1925| |RBLSI|3
1926|d|TBOAI|7
1927|i|EIAOR|3
1928|d|SNACT|7
1929| |AOIDE|3
1930|i|TBOAI|6
1931|t|NSCTL|5
1932| |EIAYT|3
1933|o|TBOAI|4
1934|n|NRLMS|2
1935| |SEIAT|3
1936|o|TBOAI|4
1937|u|NRLMS|10
1938|r|SRNTL|3
1939| |NCSIT|3
1940|o|TBOAI|4
1941|w|NRLMS|5
1942|n|NESAI|2
1943| |LSEIT|3
1944|t|TBOAI|2
1945|i|EIAOR|3
1946|m|ONCVE|12
1947|e|EAIOU|2
1948|.|SNTRD|4
1949| |SNTRD|3
1950|T|TBOAI|2
1951|h|EIAOR|10
1952|e|EOIAR|2
1953|n|RSNOA|4
1954| |ETIAS|3
1955|a|TBOAI|5
1956|l|NRLTS|4
1957|o|LIEAT|12
1958|n|GNRUO|3
1959|g|EGIAS|3
1960| |SAKWE|3
1961|c|TBOAI|8
1962|a|OHAEK|4
1963|m|LRTNS|12
1964|e|PEBSA|3
1965| |RLNSO|3
1966|c|TBOAI|8
1967|h|OHAEK|3
1968|a|EAIOR|3
1969|t|RNTLM|4
1970| |TECSO|3
1971|c|TBOAI|8
1972|a|OHAEK|4
1973|p|LRTNS|13
1974|a|EISTA|6
1975|b|CBDNR|3
1976|i|ILOAS|2
1977|l|LONTA|2
1978|i|ITELA|2
1979|t|TSZDA|2
1980|i|YIEAR|3
1981|e|EATCS|2
1982|s|SKRDL|2
1983|,|LUCND|5
1984| |LUCND|3
1985|a|TBOAI|5
1986|n|NRLTS|2
1987|d|DTSGA|2
1988| |EAISR|3
1989|w|TBOAI|5
1990|e|AEIWO|3
1991| |RBLSI|3
1992|w|TBOAI|5
1993|e|AEIWO|3
1994|r|RBLSI|2
1995|e|STKEB|5
1996| |DLNRW|3
1997|b|TBOAI|3
1998|a|EAOLI|3
1999|c|RNLCS|5
2000|k|KHTCO|2
2001| |SGPUR|3
2002|t|TBOAI|2
2003|o|EIAOR|5
2004| |RNPMS|3
2005|d|TBOAI|7
2006|i|EIAOR|3
2007|s|SNACT|2
2008|a|CTPAS|5
2009|b|PBSGR|3
2010|l|LIUER|2
2011|e|EIYOA|2
2012|d|DSMEC|2
2013|.|PADIO|4
2014| |PADIO|3
2015|A|TBOAI|5
2016|n|NRLTS|2
2017|d|DTSGA|2
2018| |EAISR|3
2019|t|TBOAI|2
2020|h|EIAOR|10
2021|e|EOIAR|2
2022|n|RSNOA|4
2023| |ETIAS|3
2024|t|TBOAI|2
2025|h|EIAOR|10
2026|e|EOIAR|2
2027| |RSNOA|3
2028|n|TBOAI|11
2029|u|EGTAD|10
2030|c|MSTCN|5
2031|l|LKCAH|2
2032|e|EIAUO|2
2033|a|OAIUR|3
2034|r|RSTIN|2
2035| |EDITC|3
2036|b|TBOAI|3
2037|o|EAOLI|4
2038|m|RONUL|12
2039|b|BIAEO|2
2040| |AESIO|3
2041|h|TBOAI|10
2042|i|AEOIU|5
2043|t|NLTRS|4
2044|.|ETACO|4
2045| |ETACO|3
2046|V|TBOAI|9
2047|o|EIAOS|5
2048|i|LRINC|4
2049|c|CDRSE|2
2050|e|EIUHA|2
2051| |SDMPO|3
2052|c|TBOAI|8
2053|h|OHAEK|3
2054|a|EAIOR|3
2055|t|RNTLM|4
2056|.|TECSO|4
2057| |TECSO|3
2058|J|TBOAI|11
2059|u|AOEUI|5
2060|s|NSDRG|3
2061|t|TSHIA|2
2062| |IEMAO|3
2063|w|TBOAI|5
2064|h|AEIWO|10
2065|e|IEAOU|3
2066|n|ERALN|6
2067| |UTSEC|3
2068|w|TBOAI|5
2069|e|AEIWO|3
2070| |RBLSI|3
2071|t|TBOAI|2
2072|h|EIAOR|10
2073|o|EOIAR|3
2074|u|RLUMN|4
2075|g|GSTRD|2
2076|h|HTAEL|2
2077|t|TOSFA|2
2078| |FSLOW|3
2079|i|TBOAI|6
2080|t|NSCTL|5
2081| |EIAYT|3
2082|w|TBOAI|5
2083|a|AEIWO|2
2084|s|RLTYN|6
2085| |HTSAK|3
2086|s|TBOAI|6
2087|a|TEISH|5
2088|f|NLTRM|8
2089|e|EAFIR|2
2090| |TLSDR|3
2091|t|TBOAI|2
2092|o|EIAOR|5
2093| |RNPMS|3
2094|t|TBOAI|2
2095|u|EIAOR|10
2096|r|RSNAD|2
2097|n|EAINB|5
2098| |EISOA|3
2099|t|TBOAI|2
2100|o|EIAOR|5
2101| |RNPMS|3
2102|o|TBOAI|4
2103|u|NRLMS|10
2104|r|SRNTL|3
2105| |NCSIT|3
2106|P|TBOAI|13
2107|C|EAORI|8
2108| |OASIH|3
2109|f|TBOAI|8
2110|o|IOEAR|3
2111|r|RLNOU|2
2112| |MDETC|3
2113|a|TBOAI|5
2114| |NRLTS|3
2115|l|TBOAI|13
2116|e|EIALO|2
2117|v|SRNTY|9
2118|e|EIAOU|2
2119|l|LRNST|2
2120| |LESIT|3
2121|c|TBOAI|8
2122|o|OHAEK|2
2123|m|MNRLU|2
2124|m|PMBEI|3
2125|u|EUIOA|3
2126|n|NTISL|2
2127|i|IAECT|2
2128|c|CTSQO|2
2129|a|AIHOE|2
2130|t|TBNDS|2
2131|i|IEOUA|2
2132|o|OVNEI|2
2133|n|NUSTR|2
2134| |SACEM|3
2135|f|TBOAI|8
2136|i|IOEAR|2
2137|e|NELCR|3
2138|l|LDRSN|2
2139|d|DEYSL|2
2140|.|SENTW|4
2141| |SENTW|3
2142|D|TBOAI|7
2143|a|EIAOR|4
2144|m|TNLRY|12
2145|n|AEIOS|11
2146|.|IEASU|4
2147| |IEASU|3
2148|O|TBOAI|4
2149|f|NRLMS|8
2150| |FTIEO|3
2151|c|TBOAI|8
2152|o|OHAEK|2
2153|u|MNRLU|6
2154|r|NRPST|3
2155|s|TSAIC|3
2156|e|EIOUT|2
2157|,|SWDBR|5
2158| |SWDBR|3
2159|I|TBOAI|6
2160|'|NSCTL|10
2161|m|NSCTL|12
2162| |EAPIM|3
2163|o|TBOAI|4
2164|v|NRLMS|9
2165|e|EIAOS|2
2166|r|RNLSD|2
2167|s|STNEC|2
2168|t|TIEHP|2
2169|a|OAREI|3
2170|t|TYFRP|2
2171|i|EISUO|3
2172|n|NOCST|2
2173|g|GSEDA|2
2174| |LSECB|3
2175|t|TBOAI|2
2176|h|EIAOR|10
2177|a|EOIAR|5
2178|t|NLMRT|6
2179|.|CSATL|4
2180| |CSATL|3
2181|E|TBOAI|6
2182|-|RNSLD|10
2183|m|RNSLD|12
2184|a|EAIOP|3
2185|i|NTRIS|5
2186|l|LNDAO|2
2187| |ESCIL|3
2188|i|TBOAI|6
2189|s|NSCTL|3
2190| |TEHSC|3
2191|s|TBOAI|6
2192|t|TEISH|2
2193|i|EAROI|6
2194|l|CNTAL|6
2195|l|LETIY|2
2196| |EAISO|3
2197|a|TBOAI|5
2198| |NRLTS|3
2199|t|TBOAI|2
2200|r|EIAOR|6
2201|e|AIOEU|5
2202|m|AESNM|6
2203|e|EIOBA|2
2204|n|NLPMT|2
2205|d|TDSON|3
2206|o|OAYEI|2
2207|u|ULNRZ|2
2208|s|SRTBI|2
2209|l|LETMI|2
2210|y|YEIAO|2
2211| |NTELK|3
2212|u|TBOAI|10
2213|s|RNSTL|4
2214|e|ETISH|2
2215|f|RSDNT|8
2216|u|ULIZO|2
2217|l|LCRNS|2
2218| |LNSYF|3
2219|t|TBOAI|2
2220|o|EIAOR|5
2221|o|RNPMS|12
2222|l|LNTKG|2
2223|.|SBETM|4
2224| |SBETM|3
2225|B|TBOAI|3
2226|u|EAOLI|10
2227|t|RSTLN|4
2228| |TEIAO|3
2229|s|TBOAI|6
2230|p|TEISH|13
2231|e|EOAIR|2
2232|e|CRELN|4
2233|c|DCLRX|3
2234|h|HEOAR|2
2235| |WELGD|3
2236|s|TBOAI|6
2237|y|TEISH|9
2238|n|NSMCL|2
2239|t|CTOEA|3
2240|h|HAERY|2
2241|e|EASRP|2
2242|s|STLYD|2
2243|i|IEQSP|2
2244|s|SZOAM|2
2245| |EITCA|3
2246|i|TBOAI|6
2247|s|NSCTL|3
2248| |TEHSC|3
2249|a|TBOAI|5
2250| |NRLTS|3
2251|c|TBOAI|8
2252|r|OHAEK|7
2253|i|OEIAU|4
2254|t|PTBMS|3
2255|i|IETOU|2
2256|c|CQSOA|2
2257|a|AISWO|2
2258|l|LSRNC|2
2259| |LSIMX|3
2260|c|TBOAI|8
2261|a|OHAEK|4
2262|p|LRTNS|13
2263|a|EISTA|6
2264|b|CBDNR|3
2265|i|ILOAS|2
2266|l|LONTA|2
2267|i|ITELA|2
2268|t|TSZDA|2
2269|y|YIEAR|2
2270| |NTGBM|3
2271|n|TBOAI|11
2272|o|EGTAD|12
2273|t|RNTSM|4
2274| |EIATH|3
2275|o|TBOAI|4
2276|n|NRLMS|2
2277|l|SEIAT|13
2278|y|IYEOA|3
2279| |MSEPB|3
2280|f|TBOAI|8
2281|o|IOEAR|3
2282|r|RLNOU|2
2283| |MDETC|3
2284|f|TBOAI|8
2285|a|IOEAR|5
2286|c|CRNLS|2
2287|e|TEIHU|3
2288| |SDTPM|3
2289|t|TBOAI|2
